event_type,event_type_slug,instrumented_commit,instrumented_pr,instrumented_date,instrumented_author_email,retired_commit,retired_pr,retired_date,retired_author_email,last_code_change_date,call_site_count,call_site_retired_date,updated_at
10 DLC Compliance - PIN Verification Completed,10_dlc_compliance_pin_verification_completed,ecf326d35c1db1bd0af368b87a335b47286e8716,https://github.com/thegoodparty/omni/pull/1049,2025-10-06,aaron@goodparty.org,,,,,2025-10-06,,,2026-06-30T20:12:33
10 DLC Compliance - Registration Submitted,10_dlc_compliance_registration_submitted,ecf326d35c1db1bd0af368b87a335b47286e8716,https://github.com/thegoodparty/omni/pull/1049,2025-10-06,aaron@goodparty.org,fd74078f7caa3d32df9f6d362ab5d18d10340452,https://github.com/thegoodparty/omni/pull/1970,2026-06-05,tomer@goodparty.org,2026-06-05,,,2026-06-30T20:12:33
AI Assistant - Chat History: Click delete,ai_assistant_chat_history_click_delete,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant - Chat History: Click menu,ai_assistant_chat_history_click_menu,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant - Chat: Click copy,ai_assistant_chat_click_copy,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant - Chat: Click regenerate,ai_assistant_chat_click_regenerate,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant - Chat: Click thumbs down,ai_assistant_chat_click_thumbs_down,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant - Chat: Click thumbs up,ai_assistant_chat_click_thumbs_up,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant - Response Completed,ai_assistant_response_completed,3ca192ba46e2cb82bcf8e84ee0ebce7fe856793a,https://github.com/thegoodparty/omni/pull/171,2026-06-16,tristan@goodparty.org,,,,,2026-06-16,,,2026-06-30T20:12:33
AI Assistant - Response Failed,ai_assistant_response_failed,3ca192ba46e2cb82bcf8e84ee0ebce7fe856793a,https://github.com/thegoodparty/omni/pull/171,2026-06-16,tristan@goodparty.org,,,,,2026-06-16,,,2026-06-30T20:12:33
AI Assistant: Ask a question,ai_assistant_ask_a_question,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant: Click new chat,ai_assistant_click_new_chat,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
AI Assistant: Click view chat history,ai_assistant_click_view_chat_history,1170c2777b41a1baf9f50650655aa705fdf7bbb3,,2025-02-26,snayak00@gmail.com,1a56730282e3effe99704f71b79ac9d6a7204c78,https://github.com/thegoodparty/omni/pull/1033,2026-07-27,5633757+dealvz@users.noreply.github.com,2026-07-27,,,2026-07-28T22:45:44
Account - Password Reset Completed,account_password_reset_completed,b03a053aa73e223181f07083df44be9d819bfc7f,https://github.com/thegoodparty/omni/pull/710,2025-06-23,145415012+oakinh@users.noreply.github.com,58821b65733bc3b6da57c261c7602ee7e8f1c6e5,https://github.com/thegoodparty/omni/pull/732,2026-07-13,tristan@goodparty.org,2026-07-13,,,2026-07-13T21:45:27
Account - Password Reset Requested,account_password_reset_requested,b03a053aa73e223181f07083df44be9d819bfc7f,https://github.com/thegoodparty/omni/pull/710,2025-06-23,145415012+oakinh@users.noreply.github.com,,,,,2026-07-13,,,2026-07-13T21:45:27
Account - Password Set Completed,account_password_set_completed,2fc365543df992198d512fbe2d6053a6d38a1aa7,https://github.com/thegoodparty/omni/pull/888,2025-08-18,tomer@goodparty.org,58821b65733bc3b6da57c261c7602ee7e8f1c6e5,https://github.com/thegoodparty/omni/pull/732,2026-07-13,tristan@goodparty.org,2026-07-13,,,2026-07-13T21:45:27
Account - Pro Subscription Canceled,account_pro_subscription_canceled,a91befe9f1d10ad7c1319b0066b2f2a8035d8d70,https://github.com/thegoodparty/omni/pull/920,2025-09-17,145415012+oakinh@users.noreply.github.com,76c2256cac0700dca9c4094a44961a2d90487934,https://github.com/thegoodparty/omni/pull/732,2026-07-13,tristan@goodparty.org,2026-07-13,,,2026-07-13T21:45:27
Account - Pro Subscription Confirmed,account_pro_subscription_confirmed,ac3e04fb428f001d0ab7bcc471c5c85ef726e2b5,https://github.com/thegoodparty/omni/pull/319,2025-06-27,145415012+oakinh@users.noreply.github.com,,,,,2025-06-27,,,2026-06-30T20:12:33
Account - User Deleted,account_user_deleted,9582a5844f58fb5a53304f8a8dfef0ef25ffb532,https://github.com/thegoodparty/omni/pull/1487,2026-04-20,aaron@goodparty.org,,,,,2026-04-20,,,2026-06-30T20:12:33
Briefing Assistant - Agenda Created,briefing_assistant_agenda_created,acb9d347d9513d1aa6f49c97e9fbb14f6d581b28,https://github.com/thegoodparty/omni/pull/1676,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - Agenda Not Created,briefing_assistant_agenda_not_created,5b8b5d6d70a84b9178fc66152cda021a6b4a1c03,https://github.com/thegoodparty/omni/pull/30,2026-06-09,swain.molster@gmail.com,,,,,2026-06-09,,,2026-06-30T20:12:33
Briefing Assistant - Agenda Submission Failed,briefing_assistant_agenda_submission_failed,c339b19dec1b846127f34a99f0c6cf406e42a982,https://github.com/thegoodparty/omni/pull/30,2026-06-09,swain.molster@gmail.com,,,,,2026-06-09,,,2026-06-30T20:12:33
Briefing Assistant - Agenda Submitted,briefing_assistant_agenda_submitted,c339b19dec1b846127f34a99f0c6cf406e42a982,https://github.com/thegoodparty/omni/pull/30,2026-06-09,swain.molster@gmail.com,,,,,2026-06-09,,,2026-06-30T20:12:33
Briefing Assistant - Briefing Viewed,briefing_assistant_briefing_viewed,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - Dictation Failed,briefing_assistant_dictation_failed,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,7cc460d363f30daec789a6ecbd7566ce8bbbcb81,https://github.com/thegoodparty/omni/pull/1056,2026-07-28,swain.molster@gmail.com,2026-07-28,,,2026-07-28T22:45:44
Briefing Assistant - Dictation Started,briefing_assistant_dictation_started,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,7cc460d363f30daec789a6ecbd7566ce8bbbcb81,https://github.com/thegoodparty/omni/pull/1056,2026-07-28,swain.molster@gmail.com,2026-07-28,,,2026-07-28T22:45:44
Briefing Assistant - Dispatch Skipped,briefing_assistant_dispatch_skipped,5e812c31abb7270dc2516864fca9226da73006f3,https://github.com/thegoodparty/omni/pull/701,2026-07-09,swain.molster@gmail.com,,,,,2026-07-09,,,2026-07-20T11:56:25
